21 276
26 19,3
30 187
37 140
43 105
45 80,5
51 74,8
57 59
66 42,1
75 30,4
84 22,5
90 18,6
94 16,2
98 14,4
120 6
130 5
140 4,7
150 3,7
160 3
170 1,7
180 1,5
190 1,6
200 1,1
210 0,9
220 0,08
230 0,08
240 0,06
250 0,05
